id,idemis_code,iddistrict,idcouncil,chiefdomname
1,3105,11,14,MAGBEMA
2,2406,1,1,"KHOLIFA MAMUNTHA/MAYOSSO"
3,4305,2,2,KAGBORO
4,1391,3,4,"KOIDU CITY"
5,2401,1,1,DANSOGOIA
6,1310,3,5,NIMIYAMA
7,4306,2,2,KAIYAMBA
8,4301,2,2,BAGRUWA
9,5103,5,7,"WATERLOO RURAL"
10,2407,1,1,"KHOLIFA ROWALA"
11,2410,1,1,"KUNIKE SANDA"
12,2416,1,1,TANE
13,4304,2,2,FAKUNYA
14,1109,6,5,LUAWA
15,4307,2,2,KAMAJEI
16,4314,2,2,"UPPER BANTA"
17,4302,2,2,BUMPEH
18,5104,5,7,"KOYA RURAL"
19,2415,1,1,SIMIRIA
20,3201,4,6,BUYA
21,4311,2,2,"LOWER BANTA"
22,4308,2,2,KONGBORA
23,5102,5,7,"MOUNTAIN RURAL"
24,1306,3,5,KAMARA
25,4204,7,8,IMPERRI
26,1291,8,10,"KENEMA CITY"
27,5205,9,10,"EAST III"
28,5104,5,7,"YORK RURAL"
29,2191,10,11,"MAKENI CITY"
30,2102,10,12,"BOMBALI SEBORA"
31,2110,10,12,N'GOWAHUN
32,5203,9,10,"EAST I"
33,4309,2,2,KORI
34,1210,8,13,NIAWA
35,2106,10,12,KAMARANKA
36,4303,2,2,DASSE
37,4312,2,2,RIBBI
38,4310,2,2,KOWA
39,3202,4,6,DIBIA
40,1301,3,5,FIAMA
41,4413,12,15,SOWA
42,3208,4,6,"SANDA LOKO"
43,1308,3,5,MAFINDOR
44,3210,4,6,"SANDA TENDARAN"
45,2419,1,1,"YONI MAMAILA"
46,2101,10,12,BIRIWA
47,1312,3,5,SOA
48,4206,7,8,"KPANDA KEMO"
49,1215,8,13,TUNKIA
50,2418,1,1,"YONI MABANTA"
51,1106,6,5,"KISSI TONGI"
52,2310,13,16,"WARA WARA YAGALA"
53,2309,13,16,"WARA WARA BAFODIA"
54,3211,4,6,"SELLA LIMBA"
55,2412,1,1,MAYEPPOH
56,4401,12,15,BARRI
57,2104,10,12,GBANTI
58,1103,6,5,JAWIE
59,2408,1,1,"KUNIKE BARINA"
60,1309,3,5,NIMIKORO
61,1307,3,5,LEI
62,5201,9,10,"CENTRAL I"
63,5202,9,10,"CENTRAL II"
64,4191,14,17,"BO TOWN"
65,5204,9,10,"EAST II"
66,2301,13,16,DIANG
67,4104,14,18,BOAMA
68,1205,8,13,"KANDU LEPPIAMA"
69,5207,9,10,"WEST II"
70,5201,9,10,"WEST III"
71,1214,8,13,"SMALL BO"
72,4103,14,18,BAGBWE(BAGBE)
73,4410,12,15,"PEJEH (FUTA PEJE)"
